#TYPE Selected.System.Management.Automation.PSCustomObject
"HotFixID","InstalledOn","Description"
"KB2894856","2017/07/22 9:00:00","Security Update"
"KB2919355","2014/03/18 9:00:00","Update"
"KB2919442","2014/03/18 9:00:00","Update"
"KB2934520","2017/07/22 9:00:00","Update"
"KB2937220","2014/03/18 9:00:00","Update"
"KB2938066","2017/07/22 9:00:00","Update"
"KB2938772","2014/03/18 9:00:00","Update"
"KB2939471","2014/03/18 9:00:00","Update"
"KB2949621","2014/03/18 9:00:00","Hotfix"
"KB2954879","2017/07/22 9:00:00","Update"
"KB2962806","2017/07/22 9:00:00","Update"
"KB2967917",,"Update"
"KB2973201",,"Security Update"
"KB2973351","2017/07/22 9:00:00","Security Update"
"KB2976897",,"Security Update"
"KB2977292","2017/07/22 9:00:00","Security Update"
"KB2977765",,"Security Update"
"KB2978041",,"Security Update"
"KB2978126","2017/04/23 9:00:00","Security Update"
"KB2989930","2017/07/22 9:00:00","Update"
"KB2992611","2017/04/23 9:00:00","Security Update"
"KB2993958","2017/04/23 9:00:00","Security Update"
"KB2995388","2017/04/23 9:00:00","Update"
"KB2996799","2017/04/23 9:00:00","Hotfix"
"KB3002885","2017/04/23 9:00:00","Security Update"
"KB3003743","2017/04/23 9:00:00","Security Update"
"KB3005607","2017/04/23 9:00:00","Security Update"
"KB3006226","2017/04/23 9:00:00","Security Update"
"KB3008188","2017/04/23 9:00:00","Update"
"KB3008242","2017/04/23 9:00:00","Update"
"KB3010788","2017/04/23 9:00:00","Security Update"
"KB3011780","2017/04/23 9:00:00","Security Update"
"KB3012199","2017/04/23 9:00:00","Update"
"KB3013410",,"Update"
"KB3013816",,"Update"
