#TYPE Selected.System.Management.Automation.PSCustomObject
"HotFixID","InstalledOn","Description"
"KB2894856","2017/07/22 9:00:00","Security Update"
"KB2919355","2014/03/18 9:00:00","Update"
"KB2919442","2014/03/18 9:00:00","Update"
"KB2934520","2017/07/23 9:00:00","Update"
"KB2937220","2014/03/18 9:00:00","Update"
"KB2938066","2017/07/22 9:00:00","Update"
"KB2938772","2014/03/18 9:00:00","Update"
"KB2939471","2014/03/18 9:00:00","Update"
"KB2949621","2014/03/18 9:00:00","Hotfix"
"KB2954879","2017/07/22 9:00:00","Update"
"KB2962806","2017/07/23 9:00:00","Update"
"KB2967917","2017/07/23 9:00:00","Update"
"KB2973201","2017/07/23 9:00:00","Security Update"
"KB2973351","2017/07/22 9:00:00","Security Update"
"KB2976897","2017/07/23 9:00:00","Security Update"
"KB2977292","2017/07/22 9:00:00","Security Update"
"KB2977765","2017/07/23 9:00:00","Security Update"
"KB2978041","2017/07/23 9:00:00","Security Update"
"KB2978126","2017/04/23 9:00:00","Security Update"
"KB2989930","2017/07/22 9:00:00","Update"
"KB2992611","2017/04/23 9:00:00","Security Update"
"KB2993958","2017/04/23 9:00:00","Security Update"
"KB2995388","2017/04/23 9:00:00","Update"
"KB2996799","2017/04/23 9:00:00","Hotfix"
"KB3000483","2017/07/23 9:00:00","Security Update"
"KB3000850","2017/07/23 9:00:00","Update"
"KB3002885","2017/04/23 9:00:00","Security Update"
"KB3003057","2017/07/23 9:00:00","Security Update"
"KB3003743","2017/04/23 9:00:00","Security Update"
"KB3004361","2017/07/23 9:00:00","Security Update"
"KB3004365","2017/07/23 9:00:00","Security Update"
"KB3004545","2017/07/23 9:00:00","Hotfix"
"KB3005607","2017/04/23 9:00:00","Security Update"
"KB3006226","2017/04/23 9:00:00","Security Update"
"KB3008188","2017/04/23 9:00:00","Update"
"KB3008242","2017/04/23 9:00:00","Update"
"KB3010788","2017/04/23 9:00:00","Security Update"
"KB3011780","2017/04/23 9:00:00","Security Update"
"KB3012199","2017/04/23 9:00:00","Update"
"KB3012702","2017/07/23 9:00:00","Update"
"KB3013172","2017/07/23 9:00:00","Update"
"KB3013410","2017/07/23 9:00:00","Update"
"KB3013769","2017/07/23 9:00:00","Update"
"KB3013791","2017/07/23 9:00:00","Update"
"KB3013816","2017/07/23 9:00:00","Update"
"KB3014442","2017/07/23 9:00:00","Update"
"KB3016074","2017/07/23 9:00:00","Update"
"KB3019978","2017/07/23 9:00:00","Security Update"
"KB3021674","2017/07/23 9:00:00","Security Update"
"KB3022777","2017/07/23 9:00:00","Security Update"
"KB3023222","2017/07/23 9:00:00","Security Update"
"KB3023266","2017/07/23 9:00:00","Security Update"
"KB3024751","2017/07/23 9:00:00","Update"
"KB3024755","2017/07/23 9:00:00","Update"
"KB3027209","2017/07/23 9:00:00","Update"
"KB3029603","2017/07/23 9:00:00","Update"
"KB3030377","2017/07/23 9:00:00","Security Update"
